rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
1,489,9,AVLP593,1,1,1.000000,1,1.000000,1.000000
2,14,4,CB0734,1,1,1.000000,1,1.000000,1.000000
3,47,452,aMe24,2,2,1.000000,2,1.000000,1.000000
4,603,498,PLP104,1,1,1.000000,1,1.000000,1.000000
5,344,357,AOTU026,1,1,1.000000,1,1.000000,1.000000
6,508,675,AVLP534,1,1,1.000000,1,1.000000,1.000000
7,171,280,AOTU053,1,1,1.000000,1,1.000000,1.000000
8,71,468,s-LNv,6,6,1.000000,6,1.000000,1.000000
9,404,221,PLP021,1,1,1.000000,1,1.000000,1.000000
10,358,687,AOTU065,1,1,1.000000,1,1.000000,1.000000
11,625,272,DGI,2,2,1.000000,2,1.000000,1.000000
12,1009,415,SIP017,1,1,1.000000,1,1.000000,1.000000
13,547,617,PLP004,1,1,1.000000,1,1.000000,1.000000
14,431,395,LC18,188,188,1.000000,188,1.000000,1.000000
15,1072,127,CL104,1,1,1.000000,1,1.000000,1.000000
16,178,117,LHPV2i2a,1,1,1.000000,1,1.000000,1.000000
17,657,398,cL01,17,20,0.850000,17,1.000000,0.918919
18,980,583,LC12,292,292,1.000000,381,0.766404,0.867756
19,421,334,LLPt,52,53,0.981132,68,0.764706,0.859504
20,1021,232,s-CPDN3A,3,3,1.000000,4,0.750000,0.857143
21,1059,703,MTe08,12,17,0.705882,12,1.000000,0.827586
22,207,289,MLt1,62,62,1.000000,92,0.673913,0.805195
23,493,129,LC25,45,50,0.900000,62,0.725806,0.803571
24,741,618,mALD2,2,3,0.666667,2,1.000000,0.800000
25,32,412,MTe51,66,66,1.000000,99,0.666667,0.800000
26,1070,540,PLP185,2,3,0.666667,2,1.000000,0.800000
27,172,308,CB3235,2,3,0.666667,2,1.000000,0.800000
28,312,288,AVLP151,2,3,0.666667,2,1.000000,0.800000
29,929,99,LC13,87,87,1.000000,145,0.600000,0.750000
30,281,558,AN_multi_124,6,9,0.666667,7,0.857143,0.750000
31,779,532,MTe01b,40,55,0.727273,52,0.769231,0.747664
32,450,262,Sm04,110,146,0.753425,152,0.723684,0.738255
33,871,722,LMa2,31,47,0.659574,37,0.837838,0.738095
34,838,548,APDN3,8,10,0.800000,12,0.666667,0.727273
35,588,480,PLP231,4,7,0.571429,4,1.000000,0.727273
36,1040,223,LCe04,23,27,0.851852,37,0.621622,0.718750
37,392,601,LC16,80,80,1.000000,152,0.526316,0.689655
38,701,341,Dm20,73,122,0.598361,95,0.768421,0.672811
39,362,182,PLP068,1,1,1.000000,2,0.500000,0.666667
40,612,157,PLP249,1,2,0.500000,1,1.000000,0.666667
41,233,263,PLP155,2,4,0.500000,2,1.000000,0.666667
42,655,267,CB2685,1,1,1.000000,2,0.500000,0.666667
43,557,88,CB2848,2,4,0.500000,2,1.000000,0.666667
44,380,81,DNpe053,1,1,1.000000,2,0.500000,0.666667
45,900,8,Dm17,7,13,0.538462,8,0.875000,0.666667
46,620,149,PLP239,1,2,0.500000,1,1.000000,0.666667
47,270,29,LAL047,2,4,0.500000,2,1.000000,0.666667
48,901,123,MC65,6,12,0.500000,6,1.000000,0.666667
49,802,449,MeTu4d,24,36,0.666667,37,0.648649,0.657534
50,945,494,MTe50,44,80,0.550000,54,0.814815,0.656716
51,963,714,LC9,86,86,1.000000,179,0.480447,0.649057
52,19,246,LC31a,22,33,0.666667,35,0.628571,0.647059
53,308,655,LC22,43,44,0.977273,89,0.483146,0.646617
54,736,651,LC11,61,62,0.983871,127,0.480315,0.645503
55,35,599,LTe68,9,18,0.500000,10,0.900000,0.642857
56,767,533,LC4,47,47,1.000000,104,0.451923,0.622517
