rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
1,1074,308,CB3235,2,2,1.000000,2,1.000000,1.000000
2,668,9,AVLP593,1,1,1.000000,1,1.000000,1.000000
3,14,272,DGI,2,2,1.000000,2,1.000000,1.000000
4,713,28,PLP103b,1,1,1.000000,1,1.000000,1.000000
5,637,498,PLP104,1,1,1.000000,1,1.000000,1.000000
6,305,395,LC18,188,188,1.000000,188,1.000000,1.000000
7,925,357,AOTU026,1,1,1.000000,1,1.000000,1.000000
8,717,117,LHPV2i2a,1,1,1.000000,1,1.000000,1.000000
9,857,209,cM19,13,13,1.000000,13,1.000000,1.000000
10,432,221,PLP021,1,1,1.000000,1,1.000000,1.000000
11,839,663,aMe15,2,2,1.000000,2,1.000000,1.000000
12,616,415,SIP017,1,1,1.000000,1,1.000000,1.000000
13,131,454,CB2580,1,1,1.000000,1,1.000000,1.000000
14,70,220,Li18,31,33,0.939394,32,0.968750,0.953846
15,779,502,Sm22,44,47,0.936170,48,0.916667,0.926316
16,462,583,LC12,328,328,1.000000,381,0.860892,0.925247
17,321,175,MTe06,18,22,0.818182,18,1.000000,0.900000
18,1011,398,cL01,17,21,0.809524,17,1.000000,0.894737
19,706,533,LC4,83,83,1.000000,104,0.798077,0.887701
20,34,558,AN_multi_124,7,9,0.777778,7,1.000000,0.875000
21,1009,268,aMe4,14,18,0.777778,14,1.000000,0.875000
22,275,722,LMa2,31,34,0.911765,37,0.837838,0.873239
23,315,334,LLPt,52,52,1.000000,68,0.764706,0.866667
24,662,232,s-CPDN3A,3,3,1.000000,4,0.750000,0.857143
25,529,136,Li13,49,50,0.980000,67,0.731343,0.837607
26,260,223,LCe04,37,54,0.685185,37,1.000000,0.813187
27,28,148,Dm18,39,48,0.812500,49,0.795918,0.804124
28,578,602,LTe49e,2,2,1.000000,3,0.666667,0.800000
29,428,274,mALD1,2,3,0.666667,2,1.000000,0.800000
30,1005,288,AVLP151,2,3,0.666667,2,1.000000,0.800000
31,690,88,CB2848,2,3,0.666667,2,1.000000,0.800000
