rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
1,168,4,CB0734,1,1,1.000000,1,1.000000,1.000000
2,401,9,AVLP593,1,1,1.000000,1,1.000000,1.000000
3,317,80,CB3866,2,2,1.000000,2,1.000000,1.000000
4,558,263,PLP155,2,2,1.000000,2,1.000000,1.000000
5,876,585,MTe17,4,4,1.000000,4,1.000000,1.000000
6,1083,421,MTe10,8,8,1.000000,8,1.000000,1.000000
7,973,127,CL104,1,1,1.000000,1,1.000000,1.000000
8,493,617,PLP004,1,1,1.000000,1,1.000000,1.000000
9,87,272,DGI,2,2,1.000000,2,1.000000,1.000000
10,892,29,LAL047,2,2,1.000000,2,1.000000,1.000000
11,805,468,s-LNv,6,6,1.000000,6,1.000000,1.000000
12,666,224,DNg33,1,1,1.000000,1,1.000000,1.000000
13,877,223,LCe04,36,39,0.923077,37,0.972973,0.947368
14,393,209,cM19,13,15,0.866667,13,1.000000,0.928571
15,576,502,Sm22,43,45,0.955556,48,0.895833,0.924731
16,996,655,LC22,73,74,0.986486,89,0.820225,0.895706
17,552,395,LC18,150,150,1.000000,188,0.797872,0.887574
18,837,220,Li18,31,39,0.794872,32,0.968750,0.873239
19,218,259,Li14,20,20,1.000000,26,0.769231,0.869565
20,962,232,s-CPDN3A,3,3,1.000000,4,0.750000,0.857143
21,622,175,MTe06,14,15,0.933333,18,0.777778,0.848485
22,643,447,cL03,8,11,0.727273,8,1.000000,0.842105
23,106,246,LC31a,27,31,0.870968,35,0.771429,0.818182
24,85,651,LC11,88,91,0.967033,127,0.692913,0.807339
25,413,476,LTe67,4,6,0.666667,4,1.000000,0.800000
26,334,703,MTe08,12,18,0.666667,12,1.000000,0.800000
27,922,308,CB3235,2,3,0.666667,2,1.000000,0.800000
28,904,540,PLP185,2,3,0.666667,2,1.000000,0.800000
29,754,288,AVLP151,2,3,0.666667,2,1.000000,0.800000
30,1046,412,MTe51,70,79,0.886076,99,0.707071,0.786517
31,1029,460,Li08,40,58,0.689655,44,0.909091,0.784314
32,515,599,LTe68,8,11,0.727273,10,0.800000,0.761905
33,649,537,Li26,8,13,0.615385,8,1.000000,0.761905
34,1065,382,DN1a,3,4,0.750000,4,0.750000,0.750000
35,15,391,LC15,65,68,0.955882,106,0.613208,0.747126
36,1082,532,MTe01b,41,58,0.706897,52,0.788462,0.745455
