rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
1,281,88,CB2848,2,2,1.000000,2,1.000000,1.000000
2,1063,415,SIP017,1,1,1.000000,1,1.000000,1.000000
3,1025,117,LHPV2i2a,1,1,1.000000,1,1.000000,1.000000
4,455,618,mALD2,2,2,1.000000,2,1.000000,1.000000
5,293,127,CL104,1,1,1.000000,1,1.000000,1.000000
6,728,288,AVLP151,2,2,1.000000,2,1.000000,1.000000
7,684,433,PLP150a,1,1,1.000000,1,1.000000,1.000000
8,526,357,AOTU026,1,1,1.000000,1,1.000000,1.000000
9,974,221,PLP021,1,1,1.000000,1,1.000000,1.000000
10,335,20,PLP032,2,2,1.000000,2,1.000000,1.000000
11,518,9,AVLP593,1,1,1.000000,1,1.000000,1.000000
12,363,498,PLP104,1,1,1.000000,1,1.000000,1.000000
13,769,583,LC12,381,381,1.000000,381,1.000000,1.000000
14,901,468,s-LNv,6,6,1.000000,6,1.000000,1.000000
15,451,272,DGI,2,2,1.000000,2,1.000000,1.000000
16,680,267,CB2685,2,2,1.000000,2,1.000000,1.000000
17,123,395,LC18,183,183,1.000000,188,0.973404,0.986523
18,53,220,Li18,31,31,1.000000,32,0.968750,0.984127
19,248,223,LCe04,37,39,0.948718,37,1.000000,0.973684
20,937,209,cM19,13,14,0.928571,13,1.000000,0.962963
21,851,742,MTe52,37,38,0.973684,42,0.880952,0.925000
22,415,109,MLt3,89,89,1.000000,108,0.824074,0.903553
23,933,287,LCe02,49,60,0.816667,53,0.924528,0.867257
24,275,722,LMa2,31,35,0.885714,37,0.837838,0.861111
25,835,232,s-CPDN3A,3,3,1.000000,4,0.750000,0.857143
26,347,398,cL01,17,24,0.708333,17,1.000000,0.829268
27,476,175,MTe06,18,26,0.692308,18,1.000000,0.818182
28,5,412,MTe51,69,70,0.985714,99,0.696970,0.816568
29,31,658,LT56,2,3,0.666667,2,1.000000,0.800000
30,529,230,Li24,10,15,0.666667,10,1.000000,0.800000
31,348,308,CB3235,2,3,0.666667,2,1.000000,0.800000
32,178,375,PLP248,2,3,0.666667,2,1.000000,0.800000
33,198,29,LAL047,2,3,0.666667,2,1.000000,0.800000
34,137,259,Li14,16,16,1.000000,26,0.615385,0.761905
35,1048,558,AN_multi_124,6,9,0.666667,7,0.857143,0.750000
36,920,703,MTe08,12,20,0.600000,12,1.000000,0.750000
37,683,401,LT52,19,20,0.950000,31,0.612903,0.745098
38,697,717,Li15,26,38,0.684211,32,0.812500,0.742857
39,1036,246,LC31a,24,31,0.774194,35,0.685714,0.727273
40,8,460,Li08,36,57,0.631579,44,0.818182,0.712871
41,1075,49,LPi01,21,21,1.000000,38,0.552632,0.711864
42,589,99,LC13,79,80,0.987500,145,0.544828,0.702222
43,893,559,Li22,14,23,0.608696,17,0.823529,0.700000
44,412,136,Li13,37,39,0.948718,67,0.552239,0.698113
45,875,710,cLP03,25,33,0.757576,39,0.641026,0.694444
46,1032,289,MLt1,48,48,1.000000,92,0.521739,0.685714
47,948,262,Sm04,78,79,0.987342,152,0.513158,0.675325
48,250,497,LTe72,1,1,1.000000,2,0.500000,0.666667
49,1009,40,LTe70,1,1,1.000000,2,0.500000,0.666667
50,975,80,CB3866,1,1,1.000000,2,0.500000,0.666667
51,664,599,LTe68,8,14,0.571429,10,0.800000,0.666667
52,58,476,LTe67,4,8,0.500000,4,1.000000,0.666667
53,792,584,PLP251,2,4,0.500000,2,1.000000,0.666667
54,126,557,MTe36,1,1,1.000000,2,0.500000,0.666667
55,932,196,DNc01,1,1,1.000000,2,0.500000,0.666667
56,231,566,PLP241,2,4,0.500000,2,1.000000,0.666667
57,747,438,CB0802,2,4,0.500000,2,1.000000,0.666667
58,798,283,Sm36,6,12,0.500000,6,1.000000,0.666667
59,655,59,LC14a1,18,25,0.720000,30,0.600000,0.654545
60,244,387,LCe09,15,30,0.500000,16,0.937500,0.652174
61,615,421,MTe10,8,17,0.470588,8,1.000000,0.640000
62,596,653,Lai,189,192,0.984375,405,0.466667,0.633166
63,982,648,Dm19,21,42,0.500000,25,0.840000,0.626866
64,609,154,MeMe_e07,10,22,0.454545,10,1.000000,0.625000
65,445,217,cM09,5,11,0.454545,5,1.000000,0.625000
66,1066,264,LPT31,4,5,0.800000,8,0.500000,0.615385
67,449,61,TmY16,66,66,1.000000,150,0.440000,0.611111
68,610,532,MTe01b,31,50,0.620000,52,0.596154,0.607843
69,276,195,LC14b,17,18,0.944444,38,0.447368,0.607143
70,405,68,LT51,17,32,0.531250,24,0.708333,0.607143
71,718,548,APDN3,6,8,0.750000,12,0.500000,0.600000
72,375,148,Dm18,40,87,0.459770,49,0.816327,0.588235
73,514,228,Sm32,40,76,0.526316,60,0.666667,0.588235
74,497,715,Mi14,112,130,0.861538,252,0.444444,0.586387
75,607,54,LMa1,33,57,0.578947,56,0.589286,0.584071
76,1074,341,Dm20,45,61,0.737705,95,0.473684,0.576923
77,396,457,Tlp5,22,22,1.000000,55,0.400000,0.571429
78,507,125,LTe59,2,3,0.666667,4,0.500000,0.571429
79,357,263,PLP155,2,5,0.400000,2,1.000000,0.571429
80,1055,81,DNpe053,2,5,0.400000,2,1.000000,0.571429
81,201,563,MTe54,23,25,0.920000,56,0.410714,0.567901
82,353,301,LC6,86,179,0.480447,125,0.688000,0.565789
83,979,651,LC11,49,49,1.000000,127,0.385827,0.556818
84,957,502,Sm22,33,72,0.458333,48,0.687500,0.550000
85,325,126,cL16,3,8,0.375000,3,1.000000,0.545455
86,472,329,LPLC4,45,58,0.775862,110,0.409091,0.535714
87,1026,533,LC4,38,38,1.000000,104,0.365385,0.535211
88,258,30,cL21,4,11,0.363636,4,1.000000,0.533333
89,757,492,T2,562,651,0.863287,1466,0.383356,0.530940
90,949,604,Li17,39,58,0.672414,89,0.438202,0.530612
91,260,698,Tlp14,20,21,0.952381,55,0.363636,0.526316
92,734,414,Lawf1,108,131,0.824427,284,0.380282,0.520482
93,235,372,L4,476,479,0.993737,1400,0.340000,0.506652
94,907,385,Dm12,98,173,0.566474,216,0.453704,0.503856
95,75,568,cLP01,26,53,0.490566,51,0.509804,0.500000
96,218,378,Sm35,6,18,0.333333,6,1.000000,0.500000
97,1071,157,PLP249,1,3,0.333333,1,1.000000,0.500000
98,733,601,LC16,69,125,0.552000,152,0.453947,0.498195
99,1061,323,Dm9,68,70,0.971429,206,0.330097,0.492754
100,323,343,TmY14,120,121,0.991736,370,0.324324,0.488798
101,575,606,Sm09,63,102,0.617647,158,0.398734,0.484615
102,639,610,LC29,26,63,0.412698,45,0.577778,0.481481
103,282,158,Tm4,471,480,0.981250,1489,0.316320,0.478415
104,654,561,Pm01,91,140,0.650000,241,0.377593,0.477690
105,161,435,LMt1,23,49,0.469388,48,0.479167,0.474227
106,906,334,LLPt,21,21,1.000000,68,0.308824,0.471910
107,978,611,LC10f,4,13,0.307692,4,1.000000,0.470588
108,556,19,LPLC1,43,43,1.000000,140,0.307143,0.469945
109,591,489,Li06,60,60,1.000000,196,0.306122,0.468750
