rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
1,287,71,CB0802,2,2,1.000000,2,1.000000,1.000000
2,42,579,DGI,2,2,1.000000,2,1.000000,1.000000
3,507,631,PLP104,1,1,1.000000,1,1.000000,1.000000
4,68,108,CB0230,1,1,1.000000,1,1.000000,1.000000
5,416,518,LAL047,2,2,1.000000,2,1.000000,1.000000
6,26,483,PLP032,2,2,1.000000,2,1.000000,1.000000
7,977,487,PLP004,1,1,1.000000,1,1.000000,1.000000
8,487,399,DNp31,1,1,1.000000,1,1.000000,1.000000
9,246,725,PLP021,1,1,1.000000,1,1.000000,1.000000
10,851,729,cML02,2,2,1.000000,2,1.000000,1.000000
11,504,546,Li18,31,31,1.000000,32,0.968750,0.984127
12,324,535,LCe04,36,40,0.900000,37,0.972973,0.935065
13,1053,119,cL01,17,20,0.850000,17,1.000000,0.918919
14,61,120,LC18,157,157,1.000000,188,0.835106,0.910145
15,882,419,Li08,40,44,0.909091,44,0.909091,0.909091
16,139,27,Sm22,39,42,0.928571,48,0.812500,0.866667
17,308,157,DN1a,3,3,1.000000,4,0.750000,0.857143
18,256,188,LC26,50,62,0.806452,57,0.877193,0.840336
19,182,258,MLt3,77,77,1.000000,108,0.712963,0.832432
20,1036,169,LC6,84,85,0.988235,125,0.672000,0.800000
21,278,484,s-LNv,4,4,1.000000,6,0.666667,0.800000
22,149,278,LC13,92,93,0.989247,145,0.634483,0.773109
23,24,510,Li14,17,18,0.944444,26,0.653846,0.772727
24,132,703,MTe01b,39,50,0.780000,52,0.750000,0.764706
25,18,402,MTe51,91,142,0.640845,99,0.919192,0.755187
26,612,365,MTe08,12,20,0.600000,12,1.000000,0.750000
27,585,21,cM19,13,22,0.590909,13,1.000000,0.742857
28,1078,103,MeTu4d,28,39,0.717949,37,0.756757,0.736842
29,385,620,LT70,8,14,0.571429,8,1.000000,0.727273
30,378,215,LMa1,32,35,0.914286,56,0.571429,0.703297
31,715,306,LTe68,7,10,0.700000,10,0.700000,0.700000
32,468,39,LC12,204,204,1.000000,381,0.535433,0.697436
33,244,344,LLPt,38,41,0.926829,68,0.558824,0.697248
34,720,231,LC9,109,143,0.762238,179,0.608939,0.677019
35,572,641,MLt1,47,47,1.000000,92,0.510870,0.676259
36,986,353,MTe54,29,30,0.966667,56,0.517857,0.674419
37,959,162,Li13,34,34,1.000000,67,0.507463,0.673267
38,426,147,PLP068,1,1,1.000000,2,0.500000,0.666667
39,983,129,LC25,32,34,0.941176,62,0.516129,0.666667
40,1013,254,mALD2,1,1,1.000000,2,0.500000,0.666667
41,239,570,CB3235,1,1,1.000000,2,0.500000,0.666667
42,179,56,s-CPDN3A,2,2,1.000000,4,0.500000,0.666667
43,865,93,cL09,1,1,1.000000,2,0.500000,0.666667
44,100,97,cL16,3,6,0.500000,3,1.000000,0.666667
45,805,289,PLP036,1,2,0.500000,1,1.000000,0.666667
46,621,284,AVLP151,2,4,0.500000,2,1.000000,0.666667
47,112,45,mALD1,2,4,0.500000,2,1.000000,0.666667
48,920,730,DNc02,2,4,0.500000,2,1.000000,0.666667
49,497,171,AVLP593,1,2,0.500000,1,1.000000,0.666667
50,889,372,CB2685,1,1,1.000000,2,0.500000,0.666667
51,549,309,AOTU026,1,2,0.500000,1,1.000000,0.666667
52,467,134,PLP251,2,4,0.500000,2,1.000000,0.666667
53,596,296,CL104,1,2,0.500000,1,1.000000,0.666667
54,217,605,Tlp5,27,27,1.000000,55,0.490909,0.658537
55,831,80,Dm20,56,76,0.736842,95,0.589474,0.654971
56,111,189,Sm32,41,66,0.621212,60,0.683333,0.650794
57,369,194,Li24,8,15,0.533333,10,0.800000,0.640000
58,743,138,LTe43,7,14,0.500000,8,0.875000,0.636364
59,210,625,LT52,19,30,0.633333,31,0.612903,0.622951
60,630,218,LCe07,8,14,0.571429,12,0.666667,0.615385
61,394,286,Dm19,23,51,0.450980,25,0.920000,0.605263
62,93,383,Lawf2,149,149,1.000000,345,0.431884,0.603239
63,553,630,Dm17,6,12,0.500000,8,0.750000,0.600000
64,206,590,LC16,65,65,1.000000,152,0.427632,0.599078
65,836,532,LC4,44,44,1.000000,104,0.423077,0.594595
66,481,418,Sm04,64,64,1.000000,152,0.421053,0.592593
67,869,131,CB2848,2,5,0.400000,2,1.000000,0.571429
68,46,588,PLP241,2,5,0.400000,2,1.000000,0.571429
69,654,569,LCe01a,14,27,0.518519,22,0.636364,0.571429
70,736,136,MTe10,8,20,0.400000,8,1.000000,0.571429
71,669,657,Sm09,76,109,0.697248,158,0.481013,0.569288
72,35,392,Tlp14,30,51,0.588235,55,0.545455,0.566038
73,992,407,LCe09,13,30,0.433333,16,0.812500,0.565217
74,985,672,Mi13,282,283,0.996466,716,0.393855,0.564565
75,620,348,LCe01b,19,29,0.655172,39,0.487179,0.558824
76,591,54,Li06,75,75,1.000000,196,0.382653,0.553506
77,323,439,Sm31,21,53,0.396226,23,0.913043,0.552632
78,624,318,LPLC1,53,53,1.000000,140,0.378571,0.549223
79,640,370,Dm18,37,87,0.425287,49,0.755102,0.544118
80,571,221,Dm15,158,178,0.887640,403,0.392060,0.543890
81,753,273,LMa2,16,22,0.727273,37,0.432432,0.542373
82,546,520,LC11,47,49,0.959184,127,0.370079,0.534091
83,208,26,LPT31,4,7,0.571429,8,0.500000,0.533333
84,814,50,LLPC1,80,82,0.975610,219,0.365297,0.531561
85,478,72,LPLC4,41,45,0.911111,110,0.372727,0.529032
86,204,589,aMe5,30,59,0.508475,55,0.545455,0.526316
87,774,269,LT51,20,52,0.384615,24,0.833333,0.526316
88,663,694,LC14a1,18,39,0.461538,30,0.600000,0.521739
89,1031,288,Li07,19,52,0.365385,22,0.863636,0.513514
90,802,117,LC22,33,40,0.825000,89,0.370787,0.511628
91,970,187,Sm20,46,121,0.380165,59,0.779661,0.511111
92,459,196,Sm05,49,50,0.980000,143,0.342657,0.507772
