rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
1,473,272,DGI,2,2,1.000000,2,1.000000,1.000000
2,400,468,s-LNv,6,6,1.000000,6,1.000000,1.000000
3,450,498,PLP104,1,1,1.000000,1,1.000000,1.000000
4,651,663,aMe15,2,2,1.000000,2,1.000000,1.000000
5,534,415,SIP017,1,1,1.000000,1,1.000000,1.000000
6,1036,221,PLP021,1,1,1.000000,1,1.000000,1.000000
7,556,81,DNpe053,2,2,1.000000,2,1.000000,1.000000
8,804,288,AVLP151,2,2,1.000000,2,1.000000,1.000000
9,218,141,LT70,8,8,1.000000,8,1.000000,1.000000
10,271,149,PLP239,1,1,1.000000,1,1.000000,1.000000
11,229,583,LC12,381,381,1.000000,381,1.000000,1.000000
12,179,180,PLP163,1,1,1.000000,1,1.000000,1.000000
13,101,584,PLP251,2,2,1.000000,2,1.000000,1.000000
14,50,618,mALD2,2,2,1.000000,2,1.000000,1.000000
15,89,117,LHPV2i2a,1,1,1.000000,1,1.000000,1.000000
16,402,127,CL104,1,1,1.000000,1,1.000000,1.000000
17,343,9,AVLP593,1,1,1.000000,1,1.000000,1.000000
18,655,452,aMe24,2,2,1.000000,2,1.000000,1.000000
19,83,395,LC18,187,187,1.000000,188,0.994681,0.997333
20,790,648,Dm19,23,23,1.000000,25,0.920000,0.958333
21,496,327,LatB,8,8,1.000000,9,0.888889,0.941176
22,938,559,Li22,15,15,1.000000,17,0.882353,0.937500
23,563,398,cL01,17,20,0.850000,17,1.000000,0.918919
24,102,99,LC13,117,118,0.991525,145,0.806897,0.889734
25,51,722,LMa2,31,33,0.939394,37,0.837838,0.885714
26,1008,289,MLt1,73,73,1.000000,92,0.793478,0.884848
27,131,228,Sm32,51,57,0.894737,60,0.850000,0.871795
28,966,232,s-CPDN3A,3,3,1.000000,4,0.750000,0.857143
29,58,421,MTe10,8,11,0.727273,8,1.000000,0.842105
30,794,341,Dm20,72,78,0.923077,95,0.757895,0.832370
31,232,259,Li14,18,18,1.000000,26,0.692308,0.818182
32,758,438,CB0802,2,3,0.666667,2,1.000000,0.800000
33,338,308,CB3235,2,3,0.666667,2,1.000000,0.800000
34,944,235,l-CPDN3,2,3,0.666667,2,1.000000,0.800000
35,348,88,CB2848,2,3,0.666667,2,1.000000,0.800000
36,709,29,LAL047,2,3,0.666667,2,1.000000,0.800000
37,361,703,MTe08,12,18,0.666667,12,1.000000,0.800000
38,217,540,PLP185,2,3,0.666667,2,1.000000,0.800000
39,857,375,PLP248,2,3,0.666667,2,1.000000,0.800000
40,522,209,cM19,13,20,0.650000,13,1.000000,0.787879
41,269,412,MTe51,73,96,0.760417,99,0.737374,0.748718
42,126,457,Tlp5,33,34,0.970588,55,0.600000,0.741573
43,517,220,Li18,31,53,0.584906,32,0.968750,0.729412
44,39,223,LCe04,37,65,0.569231,37,1.000000,0.725490
45,246,449,MeTu4d,34,57,0.596491,37,0.918919,0.723404
46,10,184,aMe5,44,68,0.647059,55,0.800000,0.715447
47,406,211,LC26,56,102,0.549020,57,0.982456,0.704403
48,319,287,LCe02,52,95,0.547368,53,0.981132,0.702703
49,242,262,Sm04,82,82,1.000000,152,0.539474,0.700855
50,743,655,LC22,53,67,0.791045,89,0.595506,0.679487
51,939,563,MTe54,30,33,0.909091,56,0.535714,0.674157
52,585,714,LC9,92,95,0.968421,179,0.513966,0.671533
53,508,290,cL22a,2,4,0.500000,2,1.000000,0.666667
