rank,pred_cluster,gt_type,gt_name,correct_cells,cluster_size,purity,gt_size,recall,f1_score
54,661,122,MeMe_e08,8,12,0.666667,12,0.666667,0.666667
55,538,182,PLP068,1,1,1.000000,2,0.500000,0.666667
56,1048,707,DNp31,1,2,0.500000,1,1.000000,0.666667
57,511,196,DNc01,2,4,0.500000,2,1.000000,0.666667
58,347,154,MeMe_e07,10,20,0.500000,10,1.000000,0.666667
59,9,682,MTe39,2,4,0.500000,2,1.000000,0.666667
60,391,267,CB2685,1,1,1.000000,2,0.500000,0.666667
61,230,28,PLP103b,1,2,0.500000,1,1.000000,0.666667
62,1026,80,CB3866,1,1,1.000000,2,0.500000,0.666667
63,639,357,AOTU026,1,2,0.500000,1,1.000000,0.666667
64,76,156,Lawf2,172,172,1.000000,345,0.498551,0.665377
65,599,533,LC4,51,51,1.000000,104,0.490385,0.658065
66,420,715,Mi14,132,154,0.857143,252,0.523810,0.650246
67,501,414,Lawf1,136,136,1.000000,284,0.478873,0.647619
68,565,695,Dm13,38,71,0.535211,49,0.775510,0.633333
69,408,129,LC25,41,68,0.602941,62,0.661290,0.630769
70,306,710,cLP03,23,34,0.676471,39,0.589744,0.630137
71,700,109,MLt3,48,48,1.000000,108,0.444444,0.615385
72,88,643,Sm03,104,166,0.626506,174,0.597701,0.611765
73,178,301,LC6,85,153,0.555556,125,0.680000,0.611511
74,889,283,Sm36,6,14,0.428571,6,1.000000,0.600000
75,168,8,Dm17,6,12,0.500000,8,0.750000,0.600000
76,644,378,Sm35,6,14,0.428571,6,1.000000,0.600000
77,1072,642,Li12,18,19,0.947368,41,0.439024,0.600000
78,444,246,LC31a,17,22,0.772727,35,0.485714,0.596491
79,607,305,Tm8a,109,142,0.767606,234,0.465812,0.579787
80,429,49,LPi01,25,49,0.510204,38,0.657895,0.574713
81,194,566,PLP241,2,5,0.400000,2,1.000000,0.571429
82,619,476,LTe67,4,10,0.400000,4,1.000000,0.571429
83,929,340,Sm05,57,57,1.000000,143,0.398601,0.570000
84,793,334,LLPt,27,27,1.000000,68,0.397059,0.568421
85,491,227,Tm35,72,143,0.503497,118,0.610169,0.551724
86,270,304,Dm6,28,37,0.756757,65,0.430769,0.549020
87,341,374,LPi10,16,17,0.941176,42,0.380952,0.542373
88,851,446,Mi2,317,319,0.993730,851,0.372503,0.541880
89,424,460,Li08,20,30,0.666667,44,0.454545,0.540541
90,771,43,Pm08,51,72,0.708333,117,0.435897,0.539683
91,275,136,Li13,26,30,0.866667,67,0.388060,0.536082
92,863,30,cL21,4,11,0.363636,4,1.000000,0.533333
93,695,528,Dm15,147,149,0.986577,403,0.364764,0.532609
94,152,646,Tm32,95,195,0.487179,168,0.565476,0.523416
95,457,323,Dm9,73,73,1.000000,206,0.354369,0.523297
96,497,676,Pm04,33,45,0.733333,82,0.402439,0.519685
97,115,54,LMa1,27,48,0.562500,56,0.482143,0.519231
98,659,354,Dm1,34,58,0.586207,73,0.465753,0.519084
99,366,694,LCe07,7,15,0.466667,12,0.583333,0.518519
100,998,195,LC14b,21,43,0.488372,38,0.552632,0.518519
101,470,68,LT51,15,34,0.441176,24,0.625000,0.517241
102,21,329,LPLC4,40,45,0.888889,110,0.363636,0.516129
103,587,489,Li06,68,68,1.000000,196,0.346939,0.515152
104,515,704,Tm16,119,119,1.000000,343,0.346939,0.515152
105,1007,230,Li24,9,25,0.360000,10,0.900000,0.514286
106,23,690,LC20b,19,28,0.678571,46,0.413043,0.513514
107,510,509,Li21,12,29,0.413793,18,0.666667,0.510638
108,920,63,Dm10,177,197,0.898477,500,0.354000,0.507891
109,442,502,Sm22,17,19,0.894737,48,0.354167,0.507463
110,976,391,LC15,47,80,0.587500,106,0.443396,0.505376
111,942,532,MTe01b,25,47,0.531915,52,0.480769,0.505051
112,932,651,LC11,43,44,0.977273,127,0.338583,0.502924
113,22,320,PLP020,1,3,0.333333,1,1.000000,0.500000
114,683,51,LT68,4,12,0.333333,4,1.000000,0.500000
115,352,602,LTe49e,1,1,1.000000,3,0.333333,0.500000
116,15,616,Pm03,64,66,0.969697,190,0.336842,0.500000
117,761,653,Lai,136,139,0.978417,405,0.335802,0.500000
118,37,388,LTe49d,1,1,1.000000,3,0.333333,0.500000
119,1060,573,TmY11,126,130,0.969231,377,0.334218,0.497041
120,1047,440,LMa5,31,49,0.632653,76,0.407895,0.496000
121,243,499,Mi13,236,236,1.000000,716,0.329609,0.495798
122,803,435,LMt1,29,69,0.420290,48,0.604167,0.495726
123,693,19,LPLC1,46,46,1.000000,140,0.328571,0.494624
124,823,385,Dm12,93,162,0.574074,216,0.430556,0.492063
125,784,345,Tm3,610,725,0.841379,1755,0.347578,0.491935
126,921,727,Mi10,138,158,0.873418,406,0.339901,0.489362
127,931,410,Tm25,232,234,0.991453,722,0.321330,0.485356
128,370,6,LT57,15,40,0.375000,22,0.681818,0.483871
129,1001,343,TmY14,118,118,1.000000,370,0.318919,0.483607
130,529,32,TmY10,142,143,0.993007,447,0.317673,0.481356
131,982,496,Mi4,483,486,0.993827,1531,0.315480,0.478929
132,801,372,L4,434,435,0.997701,1400,0.310000,0.473025
133,1053,311,LT43,4,13,0.307692,4,1.000000,0.470588
134,162,428,LCe01a,11,25,0.440000,22,0.500000,0.468085
135,447,102,Li11,28,58,0.482759,62,0.451613,0.466667
136,200,713,Tm27,345,347,0.994236,1136,0.303697,0.465273
137,671,268,aMe4,13,42,0.309524,14,0.928571,0.464286
138,835,126,cL16,3,10,0.300000,3,1.000000,0.461538
139,462,458,LMt3,13,22,0.590909,35,0.371429,0.456140
140,476,601,LC16,57,98,0.581633,152,0.375000,0.456000
141,519,165,cM08a,5,17,0.294118,5,1.000000,0.454545
142,594,568,cLP01,25,59,0.423729,51,0.490196,0.454545
143,244,61,TmY16,44,44,1.000000,150,0.293333,0.453608
144,14,742,MTe52,24,64,0.375000,42,0.571429,0.452830
145,333,698,Tlp14,16,16,1.000000,55,0.290909,0.450704
146,173,260,LC10b,43,108,0.398148,83,0.518072,0.450262
147,977,604,Li17,35,68,0.514706,89,0.393258,0.445860
148,825,169,Pm12,4,14,0.285714,4,1.000000,0.444444
149,830,302,PLP215,2,7,0.285714,2,1.000000,0.444444
150,997,439,cML02,2,7,0.285714,2,1.000000,0.444444
151,722,558,AN_multi_124,2,2,1.000000,7,0.285714,0.444444
152,623,365,LC21,41,56,0.732143,130,0.315385,0.440860
153,322,181,LC17,78,78,1.000000,276,0.282609,0.440678
154,494,400,Dm8b,135,216,0.625000,400,0.337500,0.438312
155,223,175,MTe06,5,5,1.000000,18,0.277778,0.434783
156,30,353,Tm21,357,357,1.000000,1291,0.276530,0.433252
157,478,364,Sm21,29,94,0.308511,41,0.707317,0.429630
158,323,162,LC10d,96,265,0.362264,188,0.510638,0.423841
159,240,437,T3,449,450,0.997778,1676,0.267900,0.422389
160,787,480,PLP231,4,15,0.266667,4,1.000000,0.421053
161,466,448,MeMe_e11,4,15,0.266667,4,1.000000,0.421053
162,330,258,LPLC2,56,56,1.000000,210,0.266667,0.421053
163,175,101,LPi14,4,15,0.266667,4,1.000000,0.421053
164,1064,681,Li05,64,139,0.460432,167,0.383234,0.418301
165,300,271,Sm01,114,264,0.431818,282,0.404255,0.417582
166,379,212,Mi15,262,284,0.922535,971,0.269825,0.417530
167,899,436,LCe01b,17,43,0.395349,39,0.435897,0.414634
168,1003,207,MTe11,6,23,0.260870,6,1.000000,0.413793
169,809,598,cL18,6,23,0.260870,6,1.000000,0.413793
170,7,158,Tm4,435,627,0.693780,1489,0.292142,0.411153
171,481,588,LTe58,8,27,0.296296,12,0.666667,0.410256
172,367,163,MLt5,21,36,0.583333,67,0.313433,0.407767
173,1073,622,Dm2,313,324,0.966049,1217,0.257190,0.406230
174,772,74,LLPC2,96,239,0.401674,235,0.408511,0.405063
175,364,95,CB3790,1,2,0.500000,3,0.333333,0.400000
176,663,225,H2,2,8,0.250000,2,1.000000,0.400000
177,286,280,AOTU053,1,4,0.250000,1,1.000000,0.400000
178,374,611,LC10f,4,16,0.250000,4,1.000000,0.400000
179,145,22,T1,346,347,0.997118,1387,0.249459,0.399077
180,1017,76,Tm5c,154,156,0.987179,616,0.250000,0.398964
181,768,561,Pm01,70,113,0.619469,241,0.290456,0.395480
182,853,242,Tm2,373,373,1.000000,1549,0.240801,0.388137
183,735,250,TmY4,105,112,0.937500,432,0.243056,0.386029
184,883,553,LC45,8,18,0.444444,24,0.333333,0.380952
185,911,678,MTe02,35,107,0.327103,77,0.454545,0.380435
186,432,37,Tm5a,129,231,0.558442,448,0.287946,0.379971
187,111,155,R1-6,1697,1704,0.995892,7240,0.234392,0.379472
188,897,464,Li07,14,52,0.269231,22,0.636364,0.378378
189,249,198,Tm5f,204,290,0.703448,801,0.254682,0.373969
190,622,729,Tm31,30,54,0.555556,107,0.280374,0.372671
191,389,492,T2,382,588,0.649660,1466,0.260573,0.371957
192,393,401,LT52,13,39,0.333333,31,0.419355,0.371429
193,539,60,Pm10,15,36,0.416667,46,0.326087,0.365854
194,99,567,LC36,18,69,0.260870,30,0.600000,0.363636
195,234,77,OA-AL2i1,2,9,0.222222,2,1.000000,0.363636
196,251,447,cL03,2,3,0.666667,8,0.250000,0.363636
197,892,336,MTe47,4,18,0.222222,4,1.000000,0.363636
198,320,62,cLP02,23,36,0.638889,91,0.252747,0.362205
199,799,577,TmY31,70,70,1.000000,317,0.220820,0.361757
200,475,144,Mi1,384,563,0.682060,1581,0.242884,0.358209
201,633,606,Sm09,52,134,0.388060,158,0.329114,0.356164
202,158,12,T2a,384,384,1.000000,1774,0.216460,0.355885
203,1000,740,LMa4,18,35,0.514286,67,0.268657,0.352941
204,150,87,aMe26,6,28,0.214286,6,1.000000,0.352941
205,788,10,LPT23,3,11,0.272727,6,0.500000,0.352941
206,974,515,LC28a,21,22,0.954545,98,0.214286,0.350000
207,183,394,LMa3,12,34,0.352941,35,0.342857,0.347826
208,540,450,TmY3,229,588,0.389456,734,0.311989,0.346445
209,1006,494,MTe50,34,143,0.237762,54,0.629630,0.345178
210,719,97,Y12,54,108,0.500000,205,0.263415,0.345048
211,206,240,Li10,40,46,0.869565,186,0.215054,0.344828
212,52,637,LMt4,16,55,0.290909,39,0.410256,0.340426
213,962,41,aMe8,4,20,0.200000,4,1.000000,0.333333
214,646,148,Dm18,20,71,0.281690,49,0.408163,0.333333
215,698,78,LPC1,59,193,0.305699,164,0.359756,0.330532
216,879,376,Pm02,46,99,0.464646,181,0.254144,0.328571
217,999,105,Dm3v,126,127,0.992126,640,0.196875,0.328553
218,558,580,Li03,47,205,0.229268,83,0.566265,0.326389
219,603,248,Mi9,301,301,1.000000,1551,0.194068,0.325054
220,78,569,MeTu3c,49,165,0.296970,137,0.357664,0.324503
221,972,128,Tm5e,114,211,0.540284,498,0.228916,0.321580
222,935,443,aMe9,4,21,0.190476,4,1.000000,0.320000
223,431,686,LC10c,81,304,0.266447,203,0.399015,0.319527
224,16,493,Sm02,89,171,0.520468,389,0.228792,0.317857
225,739,615,Sm27,10,50,0.200000,14,0.714286,0.312500
226,993,170,cM16,2,11,0.181818,2,1.000000,0.307692
227,54,427,LC10a,62,166,0.373494,237,0.261603,0.307692
228,604,206,cL13,2,11,0.181818,2,1.000000,0.307692
229,119,356,LT55,2,11,0.181818,2,1.000000,0.307692
230,160,275,TmY15,46,46,1.000000,257,0.178988,0.303630
231,317,312,TmY20,76,218,0.348624,283,0.268551,0.303393
232,592,276,R8,266,490,0.542857,1278,0.208138,0.300905
233,582,685,TmY9q__perp,77,140,0.550000,377,0.204244,0.297872
234,308,409,LLPC1,48,104,0.461538,219,0.219178,0.297214
235,833,578,LTe37,4,23,0.173913,4,1.000000,0.296296
236,1084,599,LTe68,4,17,0.235294,10,0.400000,0.296296
237,265,723,Pm06,17,64,0.265625,51,0.333333,0.295652
238,505,526,C2,247,247,1.000000,1429,0.172848,0.294749
239,989,279,LT74,5,29,0.172414,5,1.000000,0.294118
240,919,633,TmY5a,206,248,0.830645,1176,0.175170,0.289326
241,744,255,Li27,4,24,0.166667,4,1.000000,0.285714
242,597,70,Li16,15,69,0.217391,36,0.416667,0.285714
243,668,630,Nod1,4,24,0.166667,4,1.000000,0.285714
244,612,263,PLP155,1,5,0.200000,2,0.500000,0.285714
245,446,548,APDN3,2,2,1.000000,12,0.166667,0.285714
246,1046,544,LC33a,17,92,0.184783,27,0.629630,0.285714
247,384,362,Y11,25,46,0.543478,130,0.192308,0.284091
248,227,132,L3,236,236,1.000000,1426,0.165498,0.283995
249,950,484,Tm1,318,710,0.447887,1554,0.204633,0.280919
250,514,692,Tm20,243,243,1.000000,1494,0.162651,0.279793
251,820,399,Tm7,169,729,0.231824,484,0.349174,0.278648
252,1065,524,R7,225,357,0.630252,1259,0.178713,0.278465
253,1009,215,Sm07,107,461,0.232104,311,0.344051,0.277202
254,332,404,Dm4,23,89,0.258427,77,0.298701,0.277108
255,780,626,Pm09,16,43,0.372093,73,0.219178,0.275862
256,24,579,C3,242,244,0.991803,1519,0.159315,0.274532
257,826,538,Tm5b,103,307,0.335505,447,0.230425,0.273210
258,388,501,Li01,46,171,0.269006,167,0.275449,0.272189
259,690,456,LTe54,4,26,0.153846,4,1.000000,0.266667
260,926,202,MeTu1,69,291,0.237113,243,0.283951,0.258427
261,568,429,L1,234,234,1.000000,1596,0.146617,0.255738
262,637,666,Dm16,24,98,0.244898,91,0.263736,0.253968
263,1041,721,L5,226,226,1.000000,1569,0.144041,0.251811
264,401,628,Pm05,22,27,0.814815,148,0.148649,0.251429
265,891,46,Dm8a,61,127,0.480315,359,0.169916,0.251029
266,458,665,LCe06,7,45,0.155556,11,0.636364,0.250000
267,70,100,MTe33,2,14,0.142857,2,1.000000,0.250000
268,579,309,VSm,2,12,0.166667,4,0.500000,0.250000
269,310,720,MTe05,10,56,0.178571,25,0.400000,0.246914
270,554,358,MTe16,3,21,0.142857,4,0.750000,0.240000
271,848,146,Tm33,17,24,0.708333,118,0.144068,0.239437
272,894,582,Sm20,17,83,0.204819,59,0.288136,0.239437
273,139,344,TmY9q,65,191,0.340314,358,0.181564,0.236794
274,264,463,LPTe01,13,72,0.180556,38,0.342105,0.236364
275,940,442,Dm3q,137,260,0.526923,901,0.152053,0.236003
276,839,190,Tm9,203,203,1.000000,1522,0.133377,0.235362
277,642,35,VST2,4,26,0.153846,8,0.500000,0.235294
278,886,254,MTe31,2,15,0.133333,2,1.000000,0.235294
279,516,317,cLLP02,4,30,0.133333,4,1.000000,0.235294
280,357,621,Tm37,34,56,0.607143,238,0.142857,0.231293
281,895,510,L2,206,206,1.000000,1593,0.129316,0.229016
282,550,36,Sm13,17,112,0.151786,39,0.435897,0.225166
283,385,114,cL02b,1,2,0.500000,7,0.142857,0.222222
284,694,632,LPi02,19,84,0.226190,87,0.218391,0.222222
285,284,273,MTe01a,35,239,0.146444,76,0.460526,0.222222
286,1035,702,LTe03,3,23,0.130435,4,0.750000,0.222222
287,372,118,MeTu3b,31,190,0.163158,99,0.313131,0.214533
288,405,688,Li20,3,22,0.136364,6,0.500000,0.214286
289,113,608,Pm07,9,43,0.209302,41,0.219512,0.214286
290,753,130,Dm11,38,224,0.169643,131,0.290076,0.214085
291,238,52,LT80,4,34,0.117647,4,1.000000,0.210526
292,880,151,Y1,27,96,0.281250,166,0.162651,0.206107
293,1043,731,LPi08,11,67,0.164179,40,0.275000,0.205607
294,523,84,DmDRA1,14,91,0.153846,47,0.297872,0.202899
295,901,512,LPi11,10,45,0.222222,54,0.185185,0.202020
296,165,120,LPi04,22,133,0.165414,86,0.255814,0.200913
297,882,310,MeTu4a,15,21,0.714286,130,0.115385,0.198675
298,472,479,LPi06,13,98,0.132653,34,0.382353,0.196970
299,203,257,Sm06,30,148,0.202703,158,0.189873,0.196078
300,339,59,LC14a1,6,32,0.187500,30,0.200000,0.193548
301,924,178,LPi07,16,72,0.222222,95,0.168421,0.191617
302,544,324,LTe62,2,19,0.105263,2,1.000000,0.190476
303,713,45,Y3,63,64,0.984375,603,0.104478,0.188906
304,335,131,LCe03,15,123,0.121951,37,0.405405,0.187500
305,720,23,Tlp4,14,57,0.245614,95,0.147368,0.184211
306,620,31,MeTu2a,28,234,0.119658,70,0.400000,0.184211
307,991,668,T5a,150,193,0.777202,1483,0.101146,0.178998
308,734,534,LPi05,14,82,0.170732,76,0.184211,0.177215
309,1025,173,Dm3p,111,253,0.438735,1005,0.110448,0.176471
310,148,204,Sm10,24,196,0.122449,78,0.307692,0.175182
311,1050,522,LTe52b,2,21,0.095238,2,1.000000,0.173913
312,413,574,T5c,146,187,0.780749,1536,0.095052,0.169472
313,817,75,LLPC3,29,139,0.208633,204,0.142157,0.169096
314,34,108,Li09,7,33,0.212121,52,0.134615,0.164706
315,985,253,LC14a2,5,39,0.128205,23,0.217391,0.161290
316,681,661,Lat,2,18,0.111111,7,0.285714,0.160000
317,521,547,Tm36,53,397,0.133501,282,0.187943,0.156112
318,47,15,Sm12,19,99,0.191919,148,0.128378,0.153846
319,656,379,Y4,30,243,0.123457,164,0.182927,0.147420
320,55,133,LT73,3,37,0.081081,4,0.750000,0.146341
321,902,298,LTe19,2,26,0.076923,2,1.000000,0.142857
322,312,487,LC31b,2,18,0.111111,10,0.200000,0.142857
323,638,368,LT61b,2,26,0.076923,2,1.000000,0.142857
324,425,168,Tlp1,16,87,0.183908,139,0.115108,0.141593
325,273,361,MeTu3a,16,189,0.084656,40,0.400000,0.139738
326,245,639,uncertain,3,3,1.000000,40,0.075000,0.139535
327,210,610,LC29,7,57,0.122807,45,0.155556,0.137255
328,69,708,T4d,120,185,0.648649,1569,0.076482,0.136830
329,250,474,T4b,127,369,0.344173,1507,0.084273,0.135394
330,658,93,VST1,2,26,0.076923,4,0.500000,0.133333
331,104,392,Tm8b,32,354,0.090395,126,0.253968,0.133333
332,188,716,T5d,110,240,0.458333,1469,0.074881,0.128730
333,72,38,DmDRA2,9,122,0.073770,24,0.375000,0.123288
334,350,738,LMt2,6,42,0.142857,56,0.107143,0.122449
335,277,562,T4a,97,164,0.591463,1457,0.066575,0.119679
336,13,296,mALC3,2,32,0.062500,2,1.000000,0.117647
337,1031,739,T5b,97,173,0.560694,1514,0.064069,0.114997
338,369,346,cLPL01,2,33,0.060606,2,1.000000,0.114286
339,174,303,LTe64,3,43,0.069767,10,0.300000,0.113208
340,748,680,LPi09,12,100,0.120000,114,0.105263,0.112150
341,847,717,Li15,3,22,0.136364,32,0.093750,0.111111
342,1075,200,LPC2,9,53,0.169811,117,0.076923,0.105882
343,112,193,LT53,1,11,0.090909,8,0.125000,0.105263
344,795,360,T4c,93,146,0.636986,1710,0.054386,0.100216
345,358,444,LPT29,1,19,0.052632,2,0.500000,0.095238
346,650,214,Dm14,3,37,0.081081,28,0.107143,0.092308
347,437,153,Tm5d,25,218,0.114679,336,0.074405,0.090253
348,840,619,Pm11,4,64,0.062500,33,0.121212,0.082474
349,57,564,Li02,6,44,0.136364,102,0.058824,0.082192
350,536,244,MeTu2b,7,145,0.048276,31,0.225806,0.079545
351,865,503,PDt,3,65,0.046154,11,0.272727,0.078947
352,20,636,MLt4,12,236,0.050847,89,0.134831,0.073846
353,818,555,MLt6,4,67,0.059701,59,0.067797,0.063492
354,605,82,LC24,4,53,0.075472,76,0.052632,0.062016
355,454,2,CB3833,1,32,0.031250,1,1.000000,0.060606
356,834,194,MLt2,11,303,0.036304,103,0.106796,0.054187
357,344,359,MTe53,1,22,0.045455,15,0.066667,0.054054
358,172,418,Tm34,9,307,0.029316,71,0.126761,0.047619
359,428,72,MeTu4c,4,75,0.053333,93,0.043011,0.047619
360,689,297,Sm08,7,135,0.051852,166,0.042169,0.046512
361,474,5,LT1c,1,43,0.023256,2,0.500000,0.044444
362,915,560,cLLPM01,4,180,0.022222,6,0.666667,0.043011
363,267,431,Sm14,1,17,0.058824,36,0.027778,0.037736
364,28,679,LC10e,2,14,0.142857,103,0.019417,0.034188
365,396,282,Sm19,3,140,0.021429,55,0.054545,0.030769
366,910,124,MLt8,4,264,0.015152,24,0.166667,0.027778
367,872,107,MLt7,4,247,0.016194,48,0.083333,0.027119
368,252,701,LPi03,1,65,0.015385,13,0.076923,0.025641
369,94,516,l-LNv,1,76,0.013158,8,0.125000,0.023810
370,675,455,Sm23,1,56,0.017857,41,0.024390,0.020619
371,1078,519,LM102a_L234-M89,1,121,0.008264,2,0.500000,0.016260
372,301,536,Sm18,1,192,0.005208,37,0.027027,0.008734
373,1069,319,Sm15,1,134,0.007463,116,0.008621,0.008000
374,806,166,Sm16,1,204,0.004902,67,0.014925,0.007380
375,1071,737,Sm28,0,101,0.000000,6,0.000000,0.000000
376,1070,736,OA-ASM1,0,168,0.000000,4,0.000000,0.000000
377,1068,735,LT1a,0,133,0.000000,2,0.000000,0.000000
378,1066,734,cML01,0,167,0.000000,2,0.000000,0.000000
379,1063,733,LTe66,0,148,0.000000,7,0.000000,0.000000
380,1062,732,LC19,0,1114,0.000000,15,0.000000,0.000000
381,1059,730,mALB5,0,1,0.000000,1,0.000000,0.000000
382,1057,728,LTe53,0,92,0.000000,2,0.000000,0.000000
383,1049,726,OA-AL2b1,0,315,0.000000,2,0.000000,0.000000
384,1045,725,LC39,0,88,0.000000,8,0.000000,0.000000
385,1044,724,LTe51,0,139,0.000000,2,0.000000,0.000000
386,8,18,Li124_56,0,23,0.000000,2,0.000000,0.000000
387,815,17,MTe03,0,214,0.000000,47,0.000000,0.000000
388,26,16,LT72,0,88,0.000000,2,0.000000,0.000000
389,45,14,LTe02,0,172,0.000000,4,0.000000,0.000000
390,85,13,CB0143,0,212,0.000000,1,0.000000,0.000000
391,467,11,CB3238,0,96,0.000000,2,0.000000,0.000000
392,373,7,LTe75,0,165,0.000000,2,0.000000,0.000000
393,445,4,CB0734,0,91,0.000000,1,0.000000,0.000000
394,295,386,LT11,0,128,0.000000,2,0.000000,0.000000
395,760,384,cM08b,0,195,0.000000,4,0.000000,0.000000
396,293,383,Sm37,0,233,0.000000,2,0.000000,0.000000
397,292,382,DN1a,0,184,0.000000,4,0.000000,0.000000
398,282,381,LTe32,0,22,0.000000,6,0.000000,0.000000
399,636,380,LC34,0,57,0.000000,14,0.000000,0.000000
400,278,377,cM17,0,258,0.000000,2,0.000000,0.000000
401,268,373,MTe34,0,200,0.000000,2,0.000000,0.000000
402,769,371,LPT57,0,255,0.000000,2,0.000000,0.000000
403,906,370,LTe31,0,59,0.000000,2,0.000000,0.000000
404,297,369,MTe15,0,228,0.000000,4,0.000000,0.000000
405,263,367,LTe16,0,150,0.000000,2,0.000000,0.000000
406,262,366,Sm24,0,87,0.000000,8,0.000000,0.000000
407,258,363,Li30,0,175,0.000000,2,0.000000,0.000000
408,608,355,mALC6,0,95,0.000000,4,0.000000,0.000000
409,316,402,LT64,0,136,0.000000,6,0.000000,0.000000
410,311,397,MeMe_e04,0,60,0.000000,4,0.000000,0.000000
411,309,396,LTe49a,0,5,0.000000,4,0.000000,0.000000
412,305,393,cL19,0,89,0.000000,2,0.000000,0.000000
413,574,390,LC40,0,39,0.000000,37,0.000000,0.000000
414,299,389,cL20,0,2,0.000000,2,0.000000,0.000000
415,336,387,LCe09,0,178,0.000000,16,0.000000,0.000000
416,377,352,LT33,0,1,0.000000,2,0.000000,0.000000
417,433,351,cL04,0,83,0.000000,4,0.000000,0.000000
418,248,350,LTe46,0,196,0.000000,2,0.000000,0.000000
419,810,349,Sm42,0,21,0.000000,2,0.000000,0.000000
420,557,348,LTe38c,0,119,0.000000,4,0.000000,0.000000
421,241,347,LCe05,0,1,0.000000,19,0.000000,0.000000
422,362,342,LTe42c,0,231,0.000000,2,0.000000,0.000000
423,237,339,LT77,0,156,0.000000,6,0.000000,0.000000
424,340,417,cL08,0,63,0.000000,2,0.000000,0.000000
425,404,416,MTe41,0,73,0.000000,2,0.000000,0.000000
426,337,413,cL14,0,189,0.000000,2,0.000000,0.000000
427,334,411,aMe6a,0,178,0.000000,2,0.000000,0.000000
428,327,408,HSE,0,14,0.000000,2,0.000000,0.000000
429,326,407,MTe14,0,140,0.000000,4,0.000000,0.000000
430,324,406,LTe13,0,77,0.000000,2,0.000000,0.000000
431,778,405,LTe01,0,64,0.000000,5,0.000000,0.000000
432,321,403,cM05,0,75,0.000000,2,0.000000,0.000000
